Data,Iterations,Time
4,10000,0.016726
4,100000,0.001684
4,1000000,0.000283
4,10000000,0.001229
9,10000,0.000002
9,100000,0.000013
9,1000000,0.000124
9,10000000,0.001190
100,10000,0.000001
100,100000,0.000012
100,1000000,0.000130
100,10000000,0.001180
400,10000,0.000001
400,100000,0.000012
400,1000000,0.000113
400,10000000,0.001155
1024,10000,0.000001
1024,100000,0.000012
1024,1000000,0.000124
1024,10000000,0.001197
Data,Iterations,Time
4,10000,0.000036
4,100000,0.000045
4,1000000,0.000416
4,10000000,0.009003
9,10000,0.000006
9,100000,0.005191
9,1000000,0.001580
9,10000000,0.004743
100,10000,0.000006
100,100000,0.000396
100,1000000,0.000586
100,10000000,0.004838
400,10000,0.000006
400,100000,0.000046
400,1000000,0.000666
400,10000000,0.004649
1024,10000,0.000006
1024,100000,0.000046
1024,1000000,0.000482
1024,10000000,0.004715
